Location_ID,Sensor_Description,Sensor_Name,Installation_Date,Note,Location_Type,Status,Direction_1,Direction_2,Latitude,Longitude,Location,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
76,Macaulay Rd- Bellair St,KenMac_T,20/2/2021,,Outdoor,A,East,West,-37.79453803,144.9303619,"-37.79453803, 144.93036194",39,19,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
77,Harbour Esplanade (West) - Pedestrian path,HarEsP_T,25/3/2021,,Outdoor,A,North,South,-37.81441438,144.9443303,"-37.81441438, 144.94433026",N/A,N/A,N/A,N/A,N/A,N/A,11,65,93,63,60,68,79,84,68,80,75,130,73,59,22,N/A,N/A,N/A
78,Harbour Esplanade (West) - Bike Path,HarEsB_T,30/3/2021,,Outdoor,A,North,South,-37.81471642,144.9446508,"-37.81471642, 144.9446508",1,1,N/A,N/A,N/A,2,12,55,160,90,108,133,117,98,63,152,109,132,137,62,35,17,10,3
79,Flinders St (South),FliSS_T,10/9/2021,,Outdoor,A,East,West,-37.81794046,144.9661668,"-37.81794046, 144.96616678",2,3,5,4,6,24,70,175,302,206,155,151,229,203,136,258,235,359,350,406,342,202,149,49
80,Boyd Commuinty - Rear door,BoCoR_T,30/3/2021,,Indoor,A,In,Out,-37.8254567,144.9613121,"-37.8254567, 144.96131206",3,N/A,1,1,N/A,3,6,66,112,53,49,48,63,83,56,113,183,260,203,98,24,21,15,4
81,Boyd Commuinty - Front door,BoCoF_T,30/3/2021,,Indoor,A,In,Out,-37.82579138,144.9608434,"-37.82579138, 144.96084343",105,35,36,17,40,77,196,421,862,786,711,829,1000,928,975,990,1099,1206,895,571,526,402,327,215
82,510 Elizabeth Street - Main Entry,Eli510_T,5/11/2021,,Indoor,A,In,Out,-37.80680012,144.9600174,"-37.80680012, 144.96001735",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
84,Elizabeth St - Flinders St (East) - New footpath,ElFi_T,3/12/2021,,Outdoor,A,North,South,-37.81798049,144.9650338,"-37.81798049, 144.96503383",4,N/A,N/A,N/A,N/A,12,40,97,185,120,108,187,160,123,111,229,161,181,172,98,37,25,13,5
85,Macaulay Rd (North),488Mac_T,21/12/2021,,Outdoor,A,East,West,-37.79432415,144.9297338,"-37.79432415, 144.92973378",1,1,3,N/A,N/A,8,18,53,90,70,77,63,141,162,89,107,97,110,102,77,64,26,12,4
86,Queensberry St - Errol St (South),574Qub_T,21/12/2021,,Outdoor,A,East,West,-37.80309992,144.9490806,"-37.80309992, 144.94908064",5,1,5,1,8,10,45,76,150,124,175,215,338,264,196,199,193,213,197,183,131,45,19,16
87,Errol St (West),Errol23_T,20/5/2022,,Outdoor,A,North,South,-37.80454949,144.9492186,"-37.80454949, 144.94921863",7,6,7,7,5,10,48,132,313,267,257,223,333,386,279,212,258,365,252,196,157,111,75,42
,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
